specimenID,platform,rnaBatch,arrayBatch,RIN
9733lh,NextSeq500,11.24.20,NA,10
9732lh,NextSeq500,11.24.20,NA,9.9
9731lh,NextSeq500,11.24.20,NA,9.9
9729lh,NextSeq500,11.24.20,NA,10
9728lh,NextSeq500,11.24.20,NA,9.6
9723lh,NextSeq500,11.24.20,NA,9
9721lh,NextSeq500,11.24.20,NA,8.9
9720lh,NextSeq500,11.24.20,NA,9.1
9715lh,NextSeq500,11.24.20,NA,8.5
9713lh,NextSeq500,11.24.20,NA,10
9712lh,NextSeq500,11.24.20,NA,9.2
9704lh,NextSeq500,11.24.20,NA,10
9702lh,NextSeq500,11.24.20,NA,9.6
9701lh,NextSeq500,11.24.20,NA,8.9
9700lh,NextSeq500,11.24.20,NA,10
9699lh,NextSeq500,11.24.20,NA,9.2
9698lh,NextSeq500,11.24.20,NA,9.8
9697lh,NextSeq500,11.24.20,NA,9
9635lh,NextSeq500,11.24.20,NA,9.9
9634lh,NextSeq500,11.24.20,NA,10
9633lh,NextSeq500,11.24.20,NA,10
9631lh,NextSeq500,11.24.20,NA,9.6
TMF20554lh,NextSeq500,01.14.21,NA,9.2
TMF20556lh,NextSeq500,01.14.21,NA,9.7
TMF20557lh,NextSeq500,01.14.21,NA,8.6
TMF20558lh,NextSeq500,01.14.21,NA,10
TMF20559lh,NextSeq500,01.14.21,NA,9
TMF20587lh,NextSeq500,01.14.21,NA,8.6
TMF20588lh,NextSeq500,01.14.21,NA,9
TMF20589lh,NextSeq500,01.14.21,NA,9.3
TMF20590lh,NextSeq500,01.14.21,NA,9.2
TMF20591lh,NextSeq500,01.14.21,NA,10
TMF20592lh,NextSeq500,01.14.21,NA,9
TMF20593lh,NextSeq500,01.14.21,NA,10
TMF20594lh,NextSeq500,01.14.21,NA,8.6
TMF20682lh,NextSeq500,01.14.21,NA,9.8
TMF20723lh,NextSeq500,01.14.21,NA,9.8
TMF20724lh,NextSeq500,01.14.21,NA,8.7
TMF20725lh,NextSeq500,01.14.21,NA,10
TMF20726lh,NextSeq500,01.14.21,NA,10
TMF20728lh,NextSeq500,01.14.21,NA,9.8
TMF20729lh,NextSeq500,01.14.21,NA,7.8
TMF20736lh,NextSeq500,01.14.21,NA,10
TMF20738lh,NextSeq500,01.14.21,NA,9.8
TMF20776lh,NextSeq500,01.14.21,NA,9.9
9379lh,NextSeq2000,08.03.21,NA,10
9383lh,NextSeq2000,08.03.21,NA,10
9385lh,NextSeq2000,08.03.21,NA,10
9388lh,NextSeq2000,08.03.21,NA,9.6
9639lh,NextSeq2000,08.03.21,NA,10
10042lh,NextSeq2000,08.03.21,NA,10
10043lh,NextSeq2000,08.03.21,NA,9.1
9660lh,NextSeq2000,08.03.21,NA,10
10097lh,NextSeq2000,08.03.21,NA,10
9761lh,NextSeq2000,08.03.21,NA,9
9380lh,NextSeq2000,08.03.21,NA,10
9386lh,NextSeq2000,08.03.21,NA,10
9477lh,NextSeq2000,08.03.21,NA,10
9384lh,NextSeq2000,08.03.21,NA,10
9476lh,NextSeq2000,08.03.21,NA,10
10041lh,NextSeq2000,08.03.21,NA,8
10098lh,NextSeq2000,08.03.21,NA,10
10100lh,NextSeq2000,08.03.21,NA,10
10096lh,NextSeq2000,08.03.21,NA,10
10099lh,NextSeq2000,08.03.21,NA,10
7547lh,NextSeq2000,7.30.21,NA,10
7683lh,NextSeq2000,7.30.21,NA,10
7939lh,NextSeq2000,7.30.21,NA,10
7548lh,NextSeq2000,7.30.21,NA,10
7715lh,NextSeq2000,7.30.21,NA,10
7120lh,NextSeq2000,7.30.21,NA,10
7764lh,NextSeq2000,7.30.21,NA,10
7987lh,NextSeq2000,7.30.21,NA,9.9
7134lh,NextSeq2000,7.30.21,NA,10
8393lh,NextSeq2000,7.30.21,NA,10
7549lh,NextSeq2000,7.30.21,NA,8.4
8062lh,NextSeq2000,7.30.21,NA,10
8123lh,NextSeq2000,7.30.21,NA,10
7580lh,NextSeq2000,7.30.21,NA,10
7684lh,NextSeq2000,7.30.21,NA,10
7119lh,NextSeq2000,7.30.21,NA,10
7772lh,NextSeq2000,7.30.21,NA,10
8041lh,NextSeq2000,7.30.21,NA,10
7121lh,NextSeq2000,7.30.21,NA,10
8350lh,NextSeq2000,7.30.21,NA,9.9
